Date,Traffic Source,New vs Returning Visitors,Device Type,Browser Type,Operating System,Geographic Data - Country,Landing Page,Exit Page,Campaign,Page Views,Sessions,Bounce,Avg. Session Duration,Converted
2024-09-07,Organic,Returning,Mobile,Chrome,Android,Haryana,Homepage,Product Page,Product Launch,6,4,No,5.28,Yes
2024-09-24,Direct,New,Tablet,Edge,iOS,Andhra Pradesh,Homepage,Product Page,Spring Sale,3,3,No,9.58,Yes
2024-09-28,Referral,New,Mobile,Chrome,Android,Maharashtra,Blog,Homepage,Spring Sale,2,0,Yes,2.10,No
2024-07-17,Organic,New,Desktop,Chrome,Windows,Karnataka,Checkout,Homepage,Holiday Discounts,5,3,No,9.22,Yes
2024-08-11,Referral,New,Desktop,Safari,macOS,Maharashtra,Blog,Product Page,Newsletter,3,8,No,6.52,Yes
2024-09-11,Direct,New,Tablet,Safari,Linux,Uttar Pradesh,Homepage,Blog,Holiday Discounts,8,1,No,8.47,No
2024-10-10,Organic,New,Mobile,Chrome,Android,Uttar Pradesh,Blog,Homepage,Spring Sale,4,1,No,4.99,No
2024-08-02,Referral,New,Mobile,Safari,iOS,Maharashtra,Contact Us,Product Page,Spring Sale,7,2,Yes,8.14,No
2024-08-13,Paid,New,Mobile,Edge,Windows,Maharashtra,Product Page,Contact Us,Holiday Discounts,4,2,No,5.28,Yes
2024-09-09,Organic,New,Tablet,Safari,Windows,Tamil Nadu,Product Page,Blog,Spring Sale,8,1,No,8.91,No
2024-07-17,Organic,Returning,Mobile,Safari,iOS,Maharashtra,Contact Us,Product Page,Holiday Discounts,3,4,No,8.59,No
2024-08-30,Organic,Returning,Desktop,Chrome,Windows,Maharashtra,Blog,Checkout,Holiday Discounts,5,1,No,7.49,Yes
2024-09-08,Organic,New,Mobile,Chrome,Android,Punjab,Homepage,Contact Us,Holiday Discounts,6,6,No,8.04,No
2024-10-04,Direct,Returning,Mobile,Chrome,Android,Maharashtra,Homepage,Product Page,Spring Sale,2,4,No,4.16,No
2024-08-30,Direct,New,Desktop,Chrome,Windows,Uttar Pradesh,Homepage,Blog,Spring Sale,6,6,No,9.81,No
2024-08-25,Organic,Returning,Mobile,Safari,iOS,Delhi,Blog,Checkout,Product Launch,3,3,No,8.54,Yes
2024-08-09,Paid,New,Mobile,Edge,Windows,Uttar Pradesh,Product Page,Contact Us,Holiday Discounts,1,0,Yes,8.07,No
2024-09-27,Direct,New,Mobile,Chrome,Android,Maharashtra,Homepage,Product Page,Product Launch,6,2,No,8.19,Yes
2024-09-16,Organic,Returning,Mobile,Chrome,Android,Jharkhand,Checkout,Checkout,Product Launch,7,3,No,6.04,Yes
2024-09-29,Direct,New,Mobile,Chrome,Android,Uttar Pradesh,Product Page,Product Page,Holiday Discounts,3,2,No,5.15,Yes
2024-09-25,Paid,Returning,Mobile,Chrome,Android,Haryana,Homepage,Homepage,Holiday Discounts,6,2,No,7.48,No
2024-09-21,Organic,New,Desktop,Chrome,Windows,Haryana,Product Page,Contact Us,Spring Sale,2,2,No,1.78,No
2024-08-03,Direct,Returning,Desktop,Chrome,Windows,Telangana,Homepage,Product Page,Spring Sale,1,2,Yes,2.31,No
2024-08-20,Organic,New,Desktop,Chrome,Windows,Goa,Checkout,Homepage,Holiday Discounts,5,1,No,3.07,No
2024-09-11,Organic,New,Mobile,Chrome,Android,Uttar Pradesh,Product Page,Checkout,Spring Sale,2,3,No,4.42,No
2024-08-07,Direct,New,Mobile,Chrome,Android,Haryana,Homepage,Checkout,Spring Sale,6,4,No,5.67,No
2024-09-23,Direct,New,Mobile,Internet Explorer,Windows,Tamil Nadu,Product Page,Homepage,Holiday Discounts,5,6,No,1.77,No
2024-08-31,Direct,Returning,Mobile,Firefox,Android,Uttar Pradesh,Homepage,Blog,Product Launch,3,0,Yes,7.19,No
2024-09-28,Direct,New,Tablet,Safari,iOS,West Bengal,Checkout,Product Page,Product Launch,3,1,No,8.22,Yes
2024-08-01,Organic,New,Mobile,Chrome,Android,Uttar Pradesh,Homepage,Homepage,Spring Sale,8,2,No,1.94,No
2024-08-05,Organic,New,Mobile,Chrome,Android,Puducherry,Checkout,Homepage,Spring Sale,3,5,No,3.15,Yes
2024-10-02,Direct,Returning,Mobile,Chrome,Android,Maharashtra,Product Page,Homepage,Holiday Discounts,5,3,No,7.43,Yes
2024-08-08,Referral,New,Mobile,Chrome,Android,Andaman and Nicobar Islands,Blog,Product Page,Holiday Discounts,5,3,Yes,3.00,No
2024-09-09,Organic,New,Desktop,Chrome,Windows,Odisha,Homepage,Product Page,Holiday Discounts,3,4,No,1.42,No
2024-09-10,Direct,New,Mobile,Chrome,Android,West Bengal,Homepage,Product Page,Holiday Discounts,1,3,No,6.49,Yes
2024-10-07,Paid,New,Mobile,Safari,iOS,Gujarat,Blog,Homepage,Holiday Discounts,4,1,No,1.70,No
2024-09-28,Organic,New,Mobile,Safari,iOS,Uttar Pradesh,Checkout,Product Page,Spring Sale,5,2,No,9.65,Yes
2024-10-01,Organic,Returning,Mobile,Chrome,Android,Arunachal Pradesh,Homepage,Checkout,Spring Sale,4,2,No,1.41,Yes
2024-09-17,Paid,New,Desktop,Safari,macOS,Maharashtra,Homepage,Product Page,Spring Sale,5,2,No,8.43,No
2024-08-05,Organic,Returning,Desktop,Chrome,Windows,Maharashtra,Product Page,Product Page,Newsletter,4,3,No,8.55,No
2024-08-09,Direct,New,Mobile,Chrome,Android,Tamil Nadu,Contact Us,Contact Us,Spring Sale,4,2,Yes,5.75,No
2024-09-19,Direct,Returning,Desktop,Chrome,Windows,Andhra Pradesh,Product Page,Blog,Newsletter,4,2,No,9.96,No
2024-08-08,Organic,New,Mobile,Chrome,Android,Maharashtra,Checkout,Product Page,Product Launch,3,3,Yes,4.59,No
2024-09-18,Organic,New,Mobile,Chrome,Android,Rajasthan,Homepage,Product Page,Holiday Discounts,3,3,Yes,7.18,No
2024-09-20,Organic,New,Mobile,Internet Explorer,Windows,Uttar Pradesh,Checkout,Checkout,Spring Sale,1,3,No,5.60,Yes
2024-10-12,Direct,New,Mobile,Safari,iOS,Arunachal Pradesh,Product Page,Contact Us,Spring Sale,4,1,No,3.20,Yes
2024-08-28,Paid,Returning,Mobile,Safari,iOS,Gujarat,Checkout,Product Page,Spring Sale,2,3,Yes,9.85,No
2024-07-27,Direct,Returning,Desktop,Safari,macOS,Andhra Pradesh,Contact Us,Checkout,Holiday Discounts,1,3,Yes,8.70,No
2024-08-07,Organic,New,Desktop,Chrome,Windows,Tamil Nadu,Homepage,Checkout,Newsletter,3,2,No,1.72,Yes
2024-09-08,Direct,Returning,Mobile,Safari,iOS,West Bengal,Blog,Checkout,Product Launch,2,0,Yes,5.17,No
2024-08-09,Organic,New,Mobile,Chrome,Android,Assam,Homepage,Blog,Holiday Discounts,6,2,No,9.59,Yes
2024-10-08,Organic,New,Mobile,Chrome,Android,Odisha,Product Page,Homepage,Spring Sale,7,3,Yes,2.61,No
2024-07-25,Direct,Returning,Mobile,Chrome,Android,Bihar,Contact Us,Checkout,Spring Sale,6,3,Yes,7.86,No
2024-09-04,Paid,New,Desktop,Chrome,Windows,Uttar Pradesh,Checkout,Product Page,Product Launch,6,3,No,5.29,No
2024-08-03,Direct,New,Desktop,Chrome,Windows,Uttar Pradesh,Blog,Homepage,Product Launch,8,3,Yes,3.64,No
2024-09-26,Organic,New,Desktop,Safari,macOS,Karnataka,Contact Us,Blog,Spring Sale,3,3,Yes,4.11,No
2024-08-06,Referral,New,Mobile,Safari,iOS,Karnataka,Homepage,Product Page,Product Launch,6,5,No,7.11,Yes
2024-09-14,Direct,New,Desktop,Chrome,Windows,Maharashtra,Product Page,Checkout,Newsletter,9,2,Yes,1.14,No
2024-07-19,Organic,Returning,Mobile,Chrome,Android,Delhi,Product Page,Homepage,Spring Sale,3,6,No,1.75,Yes
2024-08-02,Organic,Returning,Desktop,Safari,macOS,Uttar Pradesh,Homepage,Checkout,Product Launch,3,3,Yes,8.00,No
2024-09-09,Referral,New,Mobile,Safari,iOS,Andhra Pradesh,Homepage,Homepage,Holiday Discounts,5,2,No,5.38,No
2024-09-22,Organic,New,Desktop,Safari,macOS,Uttar Pradesh,Homepage,Homepage,Spring Sale,3,2,Yes,8.19,No
2024-10-10,Direct,New,Tablet,Chrome,Windows,Karnataka,Blog,Homepage,Holiday Discounts,1,1,No,3.10,Yes
2024-07-21,Referral,Returning,Desktop,Chrome,Windows,Andhra Pradesh,Homepage,Contact Us,Product Launch,7,2,Yes,4.23,No
2024-09-06,Direct,New,Mobile,Chrome,Android,Karnataka,Blog,Checkout,Spring Sale,4,7,No,2.12,No
2024-08-11,Paid,New,Mobile,Chrome,Android,Tamil Nadu,Blog,Checkout,Newsletter,6,2,No,9.43,Yes
2024-08-17,Organic,New,Mobile,Chrome,Android,Telangana,Contact Us,Checkout,Newsletter,4,3,No,9.72,Yes
2024-09-18,Organic,New,Desktop,Safari,macOS,Haryana,Product Page,Checkout,Product Launch,9,2,No,1.10,No
2024-10-11,Direct,New,Desktop,Chrome,Windows,Maharashtra,Homepage,Blog,Holiday Discounts,6,3,Yes,3.26,No
2024-09-08,Direct,Returning,Mobile,Chrome,Android,Karnataka,Homepage,Homepage,Holiday Discounts,6,2,No,3.29,No
2024-08-03,Organic,New,Desktop,Firefox,Windows,Jammu and Kashmir,Homepage,Homepage,Holiday Discounts,4,2,No,3.99,Yes
2024-10-05,Direct,Returning,Desktop,Internet Explorer,Windows,Tamil Nadu,Blog,Product Page,Spring Sale,6,1,Yes,2.43,No
2024-09-19,Direct,New,Tablet,Safari,iOS,Haryana,Product Page,Product Page,Newsletter,6,5,No,5.93,Yes
2024-08-16,Direct,New,Desktop,Chrome,Windows,Uttar Pradesh,Homepage,Product Page,Holiday Discounts,8,4,No,9.99,Yes
2024-08-13,Paid,New,Mobile,Safari,iOS,Haryana,Homepage,Product Page,Holiday Discounts,6,3,Yes,9.16,No
2024-07-20,Direct,New,Mobile,Safari,iOS,Uttar Pradesh,Product Page,Blog,Spring Sale,4,4,No,8.80,Yes
2024-09-19,Direct,New,Desktop,Chrome,macOS,Telangana,Product Page,Product Page,Spring Sale,2,0,Yes,6.11,No
2024-08-02,Direct,Returning,Mobile,Chrome,iOS,Uttar Pradesh,Homepage,Product Page,Spring Sale,4,4,No,9.32,Yes
2024-09-07,Paid,New,Desktop,Chrome,macOS,Kerala,Homepage,Homepage,Product Launch,4,6,No,5.34,No
2024-08-02,Referral,New,Desktop,Edge,Windows,Maharashtra,Homepage,Product Page,Product Launch,7,3,Yes,6.46,No
2024-08-05,Organic,Returning,Desktop,Safari,macOS,West Bengal,Homepage,Homepage,Spring Sale,9,2,Yes,7.84,No
2024-09-15,Organic,Returning,Desktop,Edge,Windows,West Bengal,Homepage,Product Page,Product Launch,8,2,Yes,4.07,No
2024-07-21,Direct,Returning,Mobile,Chrome,iOS,Tamil Nadu,Homepage,Homepage,Newsletter,1,0,Yes,2.23,No
2024-10-03,Direct,New,Desktop,Chrome,macOS,Maharashtra,Homepage,Product Page,Spring Sale,8,5,No,3.65,Yes
2024-09-02,Referral,New,Mobile,Safari,iOS,Telangana,Product Page,Product Page,Spring Sale,3,2,No,3.49,Yes
2024-08-05,Organic,New,Desktop,Chrome,macOS,Telangana,Checkout,Checkout,Holiday Discounts,1,2,No,4.86,No
2024-08-19,Organic,New,Desktop,Edge,Windows,Karnataka,Homepage,Blog,Holiday Discounts,5,2,Yes,7.71,No
2024-09-09,Organic,New,Mobile,Chrome,iOS,Punjab,Checkout,Blog,Product Launch,2,2,No,4.23,No
2024-09-24,Referral,New,Mobile,Chrome,iOS,Rajasthan,Product Page,Product Page,Spring Sale,4,3,No,5.57,No
2024-09-02,Paid,Returning,Mobile,Safari,iOS,West Bengal,Product Page,Product Page,Newsletter,4,3,Yes,3.34,No
2024-07-31,Direct,New,Tablet,Chrome,Android,Andhra Pradesh,Homepage,Homepage,Spring Sale,5,2,No,1.23,Yes
2024-09-10,Organic,Returning,Mobile,Firefox,Android,Karnataka,Homepage,Checkout,Holiday Discounts,2,1,Yes,6.82,No
2024-08-26,Organic,Returning,Mobile,Safari,iOS,Telangana,Contact Us,Product Page,Spring Sale,7,2,No,4.26,Yes
2024-07-18,Direct,Returning,Desktop,Safari,macOS,Jammu and Kashmir,Checkout,Contact Us,Spring Sale,5,3,No,2.23,No
2024-08-14,Direct,New,Mobile,Chrome,iOS,Bihar,Homepage,Product Page,Spring Sale,5,4,No,4.75,No
2024-08-08,Organic,New,Mobile,Chrome,iOS,Maharashtra,Product Page,Homepage,Product Launch,2,5,No,3.05,Yes
2024-08-30,Organic,Returning,Desktop,Chrome,macOS,Delhi,Homepage,Checkout,Product Launch,2,3,Yes,5.30,No
2024-08-07,Direct,New,Desktop,Chrome,Linux,Karnataka,Homepage,Contact Us,Product Launch,4,2,Yes,8.60,No
2024-08-27,Paid,New,Mobile,Safari,iOS,Bihar,Homepage,Product Page,Product Launch,5,12,No,3.61,Yes
2024-07-20,Organic,New,Mobile,Chrome,iOS,Rajasthan,Product Page,Checkout,Holiday Discounts,7,1,No,7.51,Yes
2024-07-16,Organic,New,Mobile,Chrome,iOS,Uttar Pradesh,Homepage,Homepage,Newsletter,4,4,No,9.71,Yes
2024-08-07,Referral,New,Mobile,Chrome,iOS,Uttar Pradesh,Product Page,Product Page,Product Launch,7,3,Yes,2.36,No
2024-08-28,Direct,New,Mobile,Safari,iOS,Uttar Pradesh,Homepage,Product Page,Spring Sale,4,3,No,9.15,Yes
2024-09-05,Organic,New,Mobile,Safari,iOS,Delhi,Homepage,Product Page,Holiday Discounts,2,1,Yes,4.95,No
2024-07-26,Direct,New,Mobile,Edge,Windows,Karnataka,Blog,Contact Us,Spring Sale,2,3,Yes,4.41,No
2024-09-09,Organic,New,Desktop,Safari,macOS,Haryana,Blog,Homepage,Spring Sale,4,1,Yes,7.37,No
2024-09-22,Organic,New,Mobile,Safari,iOS,Uttarakhand,Homepage,Blog,Spring Sale,8,5,No,6.72,No
2024-07-18,Organic,New,Desktop,Firefox,Windows,Andhra Pradesh,Homepage,Blog,Spring Sale,4,6,No,8.43,No
2024-08-07,Direct,New,Mobile,Firefox,Android,Uttar Pradesh,Contact Us,Checkout,Newsletter,4,4,No,8.09,No
2024-07-29,Referral,New,Desktop,Chrome,Linux,Uttar Pradesh,Homepage,Contact Us,Newsletter,4,2,Yes,8.20,No
2024-09-13,Organic,New,Desktop,Safari,macOS,Maharashtra,Homepage,Product Page,Spring Sale,8,2,Yes,8.10,No
2024-09-02,Organic,New,Desktop,Chrome,Linux,Gujarat,Homepage,Homepage,Holiday Discounts,2,4,No,2.55,No
2024-10-10,Direct,Returning,Mobile,Chrome,iOS,Maharashtra,Homepage,Product Page,Holiday Discounts,7,3,Yes,7.31,No
2024-10-06,Organic,New,Desktop,Firefox,Windows,Maharashtra,Homepage,Checkout,Spring Sale,7,4,No,6.62,No
2024-10-14,Organic,New,Mobile,Safari,iOS,Uttar Pradesh,Product Page,Blog,Holiday Discounts,5,3,No,7.42,Yes
2024-09-30,Paid,New,Mobile,Chrome,Android,Jammu and Kashmir,Homepage,Homepage,Holiday Discounts,3,2,No,5.59,Yes
2024-08-05,Paid,New,Mobile,Safari,iOS,Tamil Nadu,Product Page,Product Page,Spring Sale,8,2,Yes,5.14,No
2024-08-16,Direct,New,Mobile,Chrome,Android,Odisha,Product Page,Product Page,Spring Sale,2,3,No,4.93,No
2024-08-03,Organic,New,Mobile,Chrome,Android,Andhra Pradesh,Checkout,Checkout,Spring Sale,6,2,Yes,3.57,No
2024-09-30,Direct,New,Desktop,Firefox,Windows,Telangana,Product Page,Blog,Product Launch,3,2,No,3.62,No
2024-08-12,Organic,New,Desktop,Safari,macOS,Rajasthan,Contact Us,Homepage,Product Launch,4,4,No,9.81,Yes
2024-09-08,Organic,Returning,Mobile,Edge,Windows,Uttar Pradesh,Homepage,Homepage,Product Launch,6,3,No,7.64,Yes
2024-09-24,Organic,New,Mobile,Chrome,Android,Dadra and Nagar Haveli,Homepage,Contact Us,Holiday Discounts,2,2,No,3.15,Yes
2024-07-26,Organic,Returning,Mobile,Safari,iOS,Karnataka,Homepage,Contact Us,Spring Sale,4,1,Yes,6.68,No
2024-08-01,Organic,Returning,Desktop,Safari,macOS,Karnataka,Product Page,Product Page,Product Launch,3,0,Yes,4.17,No
2024-10-13,Organic,Returning,Mobile,Chrome,Android,Karnataka,Product Page,Checkout,Spring Sale,3,4,No,1.20,No
2024-09-07,Organic,New,Desktop,Chrome,Linux,Kerala,Homepage,Blog,Spring Sale,5,3,Yes,9.95,Yes
2024-08-20,Organic,New,Desktop,Safari,macOS,Maharashtra,Homepage,Product Page,Holiday Discounts,10,4,No,4.26,No
2024-08-14,Organic,New,Desktop,Chrome,Linux,Punjab,Blog,Product Page,Holiday Discounts,4,2,No,4.33,No
2024-08-23,Direct,New,Mobile,Safari,iOS,Tamil Nadu,Blog,Contact Us,Holiday Discounts,8,3,No,4.35,No
2024-08-16,Direct,New,Mobile,Safari,iOS,Maharashtra,Contact Us,Product Page,Spring Sale,6,2,No,1.18,Yes
2024-09-28,Referral,Returning,Mobile,Safari,iOS,Jammu and Kashmir,Product Page,Checkout,Holiday Discounts,7,4,No,7.39,Yes
2024-10-08,Direct,New,Mobile,Chrome,Android,Tamil Nadu,Checkout,Homepage,Spring Sale,6,1,Yes,8.22,Yes
2024-08-12,Paid,New,Desktop,Chrome,Linux,Maharashtra,Blog,Contact Us,Spring Sale,4,2,No,6.38,No
2024-07-30,Organic,New,Desktop,Safari,macOS,Bihar,Homepage,Checkout,Product Launch,3,2,No,5.80,No
2024-09-10,Organic,New,Mobile,Safari,iOS,Maharashtra,Homepage,Homepage,Spring Sale,9,3,Yes,6.52,Yes
2024-09-18,Organic,Returning,Mobile,Chrome,Android,Maharashtra,Product Page,Blog,Holiday Discounts,2,2,Yes,5.02,Yes
2024-08-26,Referral,Returning,Desktop,Chrome,Linux,Haryana,Homepage,Homepage,Spring Sale,3,1,No,2.90,Yes
2024-07-20,Organic,Returning,Mobile,Safari,iOS,Madhya Pradesh,Blog,Homepage,Spring Sale,2,0,Yes,6.16,No
2024-09-27,Paid,Returning,Tablet,Chrome,Windows,Maharashtra,Homepage,Checkout,Newsletter,1,0,Yes,9.70,No
2024-09-14,Direct,New,Tablet,Chrome,Windows,Lakshadweep,Product Page,Homepage,Newsletter,1,4,No,1.18,Yes
2024-08-11,Referral,New,Desktop,Safari,macOS,Maharashtra,Homepage,Homepage,Holiday Discounts,2,3,Yes,9.18,Yes
2024-10-08,Paid,New,Mobile,Chrome,Android,Uttar Pradesh,Product Page,Checkout,Holiday Discounts,5,2,No,1.95,No
2024-07-20,Organic,New,Desktop,Safari,macOS,Karnataka,Homepage,Blog,Newsletter,7,1,No,7.31,No
2024-08-11,Paid,New,Mobile,Firefox,Android,Odisha,Homepage,Homepage,Holiday Discounts,7,3,No,2.87,Yes
2024-09-22,Paid,New,Mobile,Internet Explorer,Windows,Telangana,Homepage,Product Page,Holiday Discounts,3,1,No,5.78,Yes
2024-08-29,Organic,New,Mobile,Chrome,Android,Maharashtra,Checkout,Product Page,Spring Sale,5,2,Yes,8.96,Yes
2024-09-14,Direct,New,Desktop,Chrome,Windows,Karnataka,Homepage,Product Page,Product Launch,7,1,No,9.38,No
2024-07-31,Direct,New,Desktop,Chrome,Linux,Maharashtra,Homepage,Homepage,Holiday Discounts,3,1,Yes,3.78,Yes
2024-09-01,Direct,New,Mobile,Chrome,Android,Andhra Pradesh,Homepage,Checkout,Holiday Discounts,3,1,No,1.56,Yes
2024-08-07,Paid,New,Desktop,Edge,Windows,Tamil Nadu,Homepage,Homepage,Holiday Discounts,2,7,No,4.81,Yes
2024-10-05,Organic,New,Mobile,Edge,Windows,Uttar Pradesh,Product Page,Homepage,Spring Sale,5,1,No,8.21,Yes
2024-07-18,Organic,New,Mobile,Chrome,Android,Maharashtra,Homepage,Checkout,Spring Sale,4,1,Yes,6.20,No
2024-08-14,Organic,Returning,Mobile,Chrome,Android,Karnataka,Contact Us,Homepage,Spring Sale,5,2,Yes,4.19,Yes
2024-08-09,Paid,New,Desktop,Firefox,Windows,Jammu and Kashmir,Homepage,Checkout,Holiday Discounts,1,1,No,3.47,No
2024-08-04,Paid,New,Mobile,Safari,iOS,Haryana,Checkout,Checkout,Spring Sale,7,2,Yes,4.01,No
2024-07-31,Direct,Returning,Mobile,Chrome,Android,Maharashtra,Product Page,Product Page,Product Launch,4,3,No,5.69,No
2024-08-29,Direct,New,Mobile,Safari,iOS,Karnataka,Blog,Homepage,Holiday Discounts,4,3,No,9.58,Yes
2024-09-10,Organic,New,Mobile,Internet Explorer,Windows,Karnataka,Contact Us,Homepage,Holiday Discounts,3,4,No,6.13,No
2024-07-19,Organic,New,Mobile,Chrome,Android,Madhya Pradesh,Product Page,Homepage,Spring Sale,4,4,No,1.10,Yes
2024-08-28,Referral,New,Desktop,Chrome,macOS,Jammu and Kashmir,Product Page,Product Page,Product Launch,4,4,No,4.91,No
2024-09-12,Paid,New,Desktop,Safari,macOS,Gujarat,Blog,Checkout,Holiday Discounts,1,6,No,7.62,No
2024-10-06,Organic,Returning,Mobile,Chrome,Android,Rajasthan,Homepage,Product Page,Spring Sale,5,3,No,7.99,Yes
2024-07-20,Direct,New,Mobile,Chrome,Android,Maharashtra,Blog,Product Page,Spring Sale,2,1,No,3.10,No
2024-07-31,Paid,Returning,Mobile,Firefox,Android,West Bengal,Blog,Product Page,Holiday Discounts,4,4,No,6.70,Yes
2024-09-03,Organic,New,Mobile,Chrome,Android,Karnataka,Product Page,Contact Us,Spring Sale,6,5,No,7.27,Yes
2024-10-07,Referral,Returning,Mobile,Safari,iOS,Andhra Pradesh,Homepage,Checkout,Spring Sale,1,0,Yes,1.70,No
2024-07-19,Organic,New,Tablet,Chrome,Android,Jharkhand,Product Page,Product Page,Holiday Discounts,4,4,No,1.46,Yes
2024-07-22,Organic,New,Desktop,Chrome,macOS,Assam,Product Page,Homepage,Spring Sale,5,3,No,3.94,No
2024-09-14,Direct,New,Mobile,Edge,Windows,Haryana,Homepage,Contact Us,Spring Sale,5,4,No,7.00,No
2024-09-20,Referral,New,Mobile,Firefox,Android,Maharashtra,Homepage,Contact Us,Holiday Discounts,4,5,No,1.17,No
2024-09-04,Organic,Returning,Mobile,Chrome,Android,Andaman and Nicobar Islands,Blog,Product Page,Newsletter,3,4,No,6.54,No
2024-08-04,Organic,Returning,Mobile,Firefox,Android,Rajasthan,Contact Us,Blog,Newsletter,5,7,No,7.72,No
2024-08-15,Direct,New,Mobile,Chrome,Android,Uttar Pradesh,Homepage,Product Page,Spring Sale,4,2,Yes,1.50,Yes
2024-07-21,Organic,New,Mobile,Edge,Windows,Maharashtra,Homepage,Checkout,Holiday Discounts,1,1,Yes,1.66,No
2024-09-06,Referral,New,Mobile,Safari,iOS,Uttar Pradesh,Homepage,Blog,Spring Sale,5,6,No,4.55,Yes
2024-08-04,Paid,New,Desktop,Firefox,Windows,Telangana,Checkout,Blog,Spring Sale,6,3,No,6.02,Yes
2024-09-03,Organic,New,Mobile,Safari,iOS,Punjab,Checkout,Checkout,Spring Sale,5,1,No,1.25,No
2024-08-14,Organic,Returning,Mobile,Edge,Windows,Maharashtra,Product Page,Homepage,Product Launch,5,2,No,9.37,Yes
2024-09-30,Organic,Returning,Desktop,Safari,macOS,Andhra Pradesh,Homepage,Product Page,Spring Sale,4,3,No,7.00,Yes
2024-08-25,Organic,New,Tablet,Chrome,Android,Tamil Nadu,Homepage,Product Page,Product Launch,2,3,No,2.53,Yes
2024-10-14,Direct,Returning,Mobile,Edge,Windows,Karnataka,Homepage,Blog,Product Launch,3,1,Yes,8.33,Yes
2024-09-16,Organic,New,Mobile,Safari,iOS,Karnataka,Product Page,Product Page,Product Launch,2,5,No,9.56,Yes
2024-07-29,Direct,New,Tablet,Firefox,Windows,Jharkhand,Product Page,Contact Us,Spring Sale,2,5,No,6.87,Yes
2024-07-26,Paid,New,Mobile,Chrome,Android,Maharashtra,Blog,Homepage,Holiday Discounts,3,1,No,1.76,No
2024-08-01,Direct,New,Mobile,Chrome,Android,Odisha,Homepage,Homepage,Newsletter,3,2,Yes,6.44,Yes
2024-09-23,Organic,New,Mobile,Chrome,Android,Bihar,Homepage,Product Page,Holiday Discounts,6,3,Yes,9.78,Yes
2024-07-27,Direct,New,Mobile,Safari,iOS,Maharashtra,Homepage,Homepage,Holiday Discounts,4,3,No,6.05,Yes
2024-10-08,Organic,Returning,Mobile,Chrome,Android,Tamil Nadu,Blog,Homepage,Spring Sale,4,3,No,1.89,No
2024-08-11,Organic,New,Mobile,Internet Explorer,Windows,Uttar Pradesh,Product Page,Checkout,Newsletter,5,4,No,5.56,Yes
2024-07-30,Organic,New,Mobile,Safari,iOS,Karnataka,Homepage,Checkout,Holiday Discounts,3,3,No,8.25,Yes
2024-07-17,Organic,New,Desktop,Chrome,macOS,Haryana,Homepage,Checkout,Holiday Discounts,1,0,Yes,7.30,No
2024-09-02,Direct,Returning,Mobile,Chrome,Android,Haryana,Homepage,Product Page,Holiday Discounts,6,1,Yes,1.11,No
2024-09-06,Direct,New,Mobile,Firefox,Android,Maharashtra,Homepage,Product Page,Spring Sale,5,2,No,3.52,No
2024-09-22,Organic,New,Mobile,Chrome,Android,Uttar Pradesh,Homepage,Checkout,Spring Sale,4,4,No,4.34,Yes
2024-07-28,Organic,New,Mobile,Chrome,Android,Karnataka,Homepage,Checkout,Spring Sale,3,2,Yes,1.27,No
2024-08-24,Referral,Returning,Desktop,Safari,macOS,Jharkhand,Contact Us,Product Page,Spring Sale,6,3,Yes,7.52,No
